SweeD_1.Position SweeD_1.Likelihood
922265 3.455014
6953943 3.813597
12331535 2.042405
16448434 5.423483
16448843 6.253267
16449253 2.644121
16449662 2.399829
17558088 2.767186
17558500 2.897015
24510728 2.985907
24511136 2.980119
24512776 2.585435
24513184 3.181529
24513592 2.639247
25865156 2.164868
27697252 2.115017
39466312 8.66961
39467132 2.111031
39468768 2.298531
39469176 2.226251
39828556 3.405004
39828968 2.40395
42679852 5.307553
42680668 2.378454
42681080 7.885854
42682308 3.760591
42682716 2.740971
42683124 5.490466
42699908 3.042769
43215644 2.691594
43216056 2.751266
43217284 2.205136
59926376 2.253381
60620164 2.050926
