SweeD_3.Position SweeD_3.Likelihood
2397721 2.870767
8467212 4.83274
8467637 3.481074
8471881 2.413595
10723535 3.203799
10821156 6.175979
10822005 3.698519
10830918 2.495977
10848320 2.611758
16610516 2.108047
20737770 3.453393
20738618 3.239235
26693086 2.039511
26710912 2.355339
26711338 2.477058
26711762 2.321415
28830142 2.141992
36316412 3.824708
40186032 2.096876
40601984 4.309507
40603680 4.559511
40604104 4.175728
40604528 2.550855
40608772 7.260557
40609196 6.555296
40609624 2.384675
40610472 7.000014
40610896 8.108091
40611320 5.682535
40616412 2.422525
40616836 2.764908
40617264 4.673132
40617688 3.549463
44209720 2.084846
50929456 2.210571
51436660 2.758177
51437084 2.649358
51437508 2.039735
51454912 3.82815
51455760 2.423374
53736276 2.035761
57877112 4.208763
59491256 2.164014
61836712 2.069203
