SweeD_7.Position SweeD_7.Likelihood
2143992 2.43075
2145174 2.038707
2225835 3.423334
5354765 3.405303
9430057 2.30419
11658718 2.155803
12406824 2.213318
13739943 2.525271
14755442 2.359224
14755738 2.833522
14756033 2.921672
14756329 2.822519
14756624 2.700698
14756920 2.413449
14758692 2.706088
14758988 3.636051
14759283 2.201467
14766079 2.132501
14766374 2.381655
14766670 2.309197
14766965 2.363959
14767261 2.360615
26844222 4.753709
34688408 2.150856
34688704 2.138984
34689000 2.036816
36819864 2.218295
40740632 2.780579
