SweeD_8.Position SweeD_8.Likelihood
4493770 3.529289
4495004 3.674264
4495313 5.640337
4495621 4.164963
4501173 3.176069
8442285 3.79598
8442594 4.087839
8442902 3.199965
8516308 3.91488
8516617 5.480836
8516925 6.68236
8517234 7.335614
8517542 7.366798
8517850 7.315993
8518159 7.214856
8518467 7.018286
8518776 6.69094
8519084 6.140709
8519393 5.190136
8519701 3.467741
8520935 3.450223
8525870 3.400764
8526795 4.741133
8527103 6.480406
8527412 5.188201
8527720 3.438598
8528029 3.536308
8528337 3.321748
8529571 3.573546
8530188 6.185349
8533272 3.034595
8533580 3.810327
8533889 4.356178
8534197 4.746314
8534506 5.028736
8534814 5.239994
8535123 5.404128
8535431 5.52444
8535739 5.631783
8536048 5.475934
8536356 4.919767
8536665 4.046713
8536973 2.964263
13562523 3.368484
13562832 4.64348
13563140 5.391713
13563449 5.650337
13563757 5.48783
13564066 5.231425
13564374 5.205349
13564682 5.161193
13564991 4.936364
13565299 4.330438
13566225 3.586918
13566841 4.12007
13567150 4.873985
13567458 5.195287
13567767 5.66505
13568075 6.085445
13568384 6.099864
13568692 5.628959
13569000 4.644309
13569309 3.011715
22135940 4.318296
22136248 4.145606
22136864 4.203644
22137172 2.972637
22139024 3.736008
22139332 5.465301
22139640 6.564125
22139948 7.085818
22140256 7.012721
22140564 6.343409
22140872 5.082145
22141180 3.194892
22145192 6.7567
22904852 3.110569
22905160 3.504159
22905468 3.868715
22905780 4.175654
22906088 4.41353
22906396 4.555257
22906704 4.563619
22907012 4.535222
22907320 4.499579
22907628 4.456082
22907936 4.405123
22908244 4.344091
22908556 4.265954
22908864 4.163509
22909172 4.036698
22909480 3.875868
22909788 3.645694
22910096 3.328357
22914108 3.226057
22914416 3.690609
22914724 3.994992
22915032 4.202136
22915340 4.365157
22915648 4.477867
22915956 4.552119
22916264 4.609888
22916572 4.649372
22916880 4.684884
22917192 4.723127
22917500 4.779121
22917808 4.860244
22918116 5.000234
22918424 5.203686
22918732 5.438017
22919040 5.660273
22919348 5.835993
22919656 5.942667
22919968 5.967625
22920276 5.893552
22920584 5.722657
22920892 5.453524
22921200 5.067338
22921508 4.574013
22921816 3.959464
22922124 3.222378
24690352 2.991495
25135416 3.392408
