SweeD_13.Position SweeD_13.Likelihood
12386 2.45801
12848 2.029103
2464895 2.042105
7886498 2.736136
11280145 2.50472
18452680 3.854981
18454068 3.329029
18454530 3.139371
20038048 2.121246
20039666 2.215874
20039898 2.79546
20040128 2.932806
20040360 2.731785
20040590 2.457502
20042904 2.252066
20058628 2.044586
28696980 2.411802
28697674 2.654336
29459834 2.387366
29460064 3.681421
29460296 2.290392
29800446 2.165337
30113080 2.728591
30114006 4.37606
30114236 2.53853
30147072 4.506775
30147304 5.357867
30147534 3.465986
30148922 3.558181
30150078 3.655285
30150310 4.348301
30150540 4.158721
30150772 3.335586
30151004 2.96397
